,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,2.952269e+11,,3.278079e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,1.275486e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,1.347107e+10,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_2,2.952269e+11,,1.418406e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,1.275486e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_3,2.952269e+11,,3.278079e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,1.275486e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_4,2.952269e+11,,1.361238e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,9.523586e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_5,2.952269e+11,,1.460496e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,1.275486e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_6,2.952269e+11,,1.460496e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,9.523586e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_7,2.952269e+11,,3.278079e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,1.275486e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_8,2.952269e+11,,1.485392e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,1.275486e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_9,2.952269e+11,,1.460496e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.335494e+05,1.275486e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
run_10,2.952269e+11,,1.361238e+05,7.057687e+03,6.558337e+02,7.954193e+02,2.500361e+03,1.102375e+03,1.541586e+04,3.080966e+03,8.502671e+05,1.275486e+10,9.480958e+10,4.032603e+08,7.489792e+10,2.719140e+03,1.949440e+05,5.434586e+09,1.244116e+10,3.110648e+03,2.529566e+03,4.655510e+03,2.717410e+03,2.887630e+03,6.385153e+03,5.784111e+03,3.148668e+03,3.783222e+03
