,f1_time,f2_time,f3_time,f4_time,f5_time,f6_time,f7_time,f8_time,f9_time,f10_time,f11_time,f12_time,f13_time,f14_time,f15_time,f16_time,f17_time,f18_time,f19_time,f20_time,f21_time,f22_time,f23_time,f24_time,f25_time,f26_time,f27_time,f28_time
run_1,0.369,,0.442,0.396,0.381,0.423,0.556,0.445,0.500,0.574,0.751,0.837,0.895,0.943,0.824,1.076,1.477,0.967,1.244,1.611,1.546,1.732,2.041,1.842,2.073,2.356,2.591,2.634
run_2,0.361,,0.439,0.398,0.381,0.431,0.562,0.445,0.499,0.565,0.744,0.837,0.899,0.938,0.831,1.064,1.482,0.969,1.260,1.597,1.504,1.746,2.037,1.857,2.047,2.356,2.588,2.569
run_3,0.358,,0.437,0.398,0.380,0.425,0.559,0.445,0.505,0.546,0.752,0.837,0.913,0.938,0.823,1.057,1.489,0.968,1.323,1.638,1.492,1.777,2.046,1.859,2.096,2.323,2.650,2.566
run_4,0.353,,0.435,0.395,0.384,0.423,0.558,0.446,0.505,0.556,0.734,0.840,0.894,0.941,0.833,1.056,1.475,0.965,1.305,1.583,1.502,1.769,2.024,1.847,2.095,2.356,2.662,2.580
run_5,0.367,,0.432,0.394,0.380,0.422,0.561,0.442,0.509,0.563,0.735,0.840,0.884,0.935,0.833,1.063,1.480,0.968,1.292,1.580,1.488,1.754,2.025,1.873,2.035,2.290,2.656,2.597
run_6,0.379,,0.432,0.399,0.379,0.426,0.557,0.451,0.501,0.561,0.733,0.845,0.884,0.930,0.850,1.073,1.482,0.969,1.289,1.592,1.529,1.756,2.001,1.838,2.041,2.310,2.656,2.581
run_7,0.356,,0.440,0.415,0.377,0.422,0.558,0.448,0.499,0.541,0.732,0.867,0.887,0.936,0.832,1.062,1.480,0.998,1.293,1.658,1.515,1.790,2.010,1.819,2.052,2.312,2.650,2.573
run_8,0.388,,0.449,0.401,0.379,0.424,0.563,0.441,0.498,0.559,0.737,0.845,0.877,0.931,0.828,1.060,1.471,1.010,1.289,1.620,1.448,1.754,2.006,1.828,2.042,2.312,2.643,2.574
run_9,0.356,,0.435,0.402,0.381,0.425,0.566,0.440,0.500,0.544,0.732,0.838,0.914,0.913,0.824,1.069,1.469,1.012,1.267,1.570,1.504,1.795,1.994,1.843,2.088,2.315,2.645,2.604
run_10,0.357,,0.440,0.401,0.381,0.421,0.566,0.446,0.509,0.557,0.734,0.841,0.933,0.915,0.830,1.066,1.471,1.041,1.340,1.576,1.476,1.779,2.008,1.890,2.092,2.320,2.642,2.599
