,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,1.000004e+02,,3.000000e+02,4.000000e+02,6.661535e+02,6.884123e+02,1.779077e+03,9.601864e+02,6.763060e+03,2.269267e+03,1.249237e+03,1.729589e+03,2.236990e+03,1.651420e+03,1.805491e+03,2.167142e+03,2.710928e+03,1.957917e+03,2.048695e+03,2.377892e+03,2.435104e+03,3.526762e+03,2.762070e+03,2.923724e+03,2.948815e+03,3.576446e+03,3.108090e+03,3.411822e+03
run_2,1.000004e+02,,3.000000e+02,4.000000e+02,7.586774e+02,7.197643e+02,1.124284e+03,9.183986e+02,4.467878e+03,2.218505e+03,1.210166e+03,2.047558e+03,1.934789e+03,1.528311e+03,1.549472e+03,1.845478e+03,2.819851e+03,1.926369e+03,2.995904e+03,2.508293e+03,2.489952e+03,3.945115e+03,2.744478e+03,2.772723e+03,2.947339e+03,3.191919e+03,3.138087e+03,3.411822e+03
run_3,1.000004e+02,,3.000000e+02,4.000000e+02,7.716162e+02,6.974034e+02,1.362535e+03,8.736263e+02,2.671377e+03,2.985014e+03,1.213423e+03,1.537822e+03,1.852014e+03,1.578344e+03,1.552836e+03,2.387566e+03,2.779316e+03,2.090934e+03,2.101219e+03,2.326422e+03,2.442290e+03,2.301194e+03,2.806907e+03,2.500000e+03,2.948982e+03,3.048222e+03,3.298960e+03,3.383734e+03
run_4,1.000000e+02,,3.000000e+02,4.000000e+02,8.271997e+02,7.460757e+02,1.682608e+03,9.442645e+02,2.180777e+03,2.802199e+03,1.245258e+03,1.580245e+03,1.821173e+03,1.568960e+03,1.589045e+03,2.581533e+03,2.197179e+03,1.988854e+03,4.519700e+03,2.651748e+03,2.463164e+03,5.564976e+03,2.840237e+03,2.979778e+03,2.899609e+03,4.798876e+03,3.103183e+03,3.411822e+03
run_5,1.000004e+02,,3.000000e+02,4.000000e+02,7.397792e+02,6.773122e+02,1.409261e+03,9.552107e+02,2.794593e+03,2.254766e+03,1.151737e+03,1.858099e+03,1.787549e+03,1.570690e+03,1.608883e+03,2.182301e+03,2.143841e+03,2.119661e+03,2.456059e+03,2.810212e+03,2.429467e+03,5.386984e+03,3.325819e+03,2.894425e+03,2.950639e+03,7.091419e+03,3.414132e+03,3.383734e+03
run_6,1.000004e+02,,3.000000e+02,4.000000e+02,5.676698e+02,7.127738e+02,1.418934e+03,1.082561e+03,2.962628e+03,2.436294e+03,1.145768e+03,1.515769e+03,1.821507e+03,1.659167e+03,1.692033e+03,2.614673e+03,2.214881e+03,1.923729e+03,2.124119e+03,2.926971e+03,2.422694e+03,2.309700e+03,4.143721e+03,2.920353e+03,2.959495e+03,4.745891e+03,3.167721e+03,3.411822e+03
run_7,1.000004e+02,,3.000000e+02,4.000000e+02,8.004670e+02,7.132749e+02,2.008112e+03,9.621738e+02,3.334584e+03,3.256680e+03,1.219393e+03,1.691641e+03,1.873978e+03,1.653900e+03,1.636798e+03,2.662190e+03,1.988243e+03,1.838911e+03,3.315451e+03,2.404549e+03,2.531397e+03,4.528577e+03,2.794887e+03,2.780404e+03,2.949794e+03,4.498134e+03,4.337297e+03,3.100000e+03
run_8,1.000003e+02,,3.000000e+02,4.000000e+02,8.064373e+02,6.674311e+02,1.497418e+03,9.761051e+02,7.463326e+03,2.625472e+03,1.181585e+03,2.010850e+03,1.683036e+03,1.553341e+03,1.613830e+03,2.603652e+03,2.340600e+03,1.892835e+03,3.075328e+03,2.549041e+03,2.595796e+03,4.349120e+03,2.881310e+03,2.755377e+03,2.898006e+03,4.950085e+03,3.114333e+03,3.383734e+03
run_9,1.000004e+02,,3.000000e+02,4.000000e+02,6.492419e+02,6.907394e+02,9.909124e+02,1.003439e+03,5.557551e+03,3.225572e+03,1.262174e+03,1.903724e+03,1.680244e+03,1.571468e+03,1.745654e+03,1.844581e+03,2.993823e+03,1.941519e+03,1.926419e+03,2.779289e+03,2.202224e+03,4.132443e+03,2.912055e+03,2.864332e+03,2.948473e+03,4.837083e+03,3.505205e+03,3.383745e+03
run_10,1.000004e+02,,3.000000e+02,4.000000e+02,6.024789e+02,6.418967e+02,1.368727e+03,9.183986e+02,6.571043e+03,2.961187e+03,1.236305e+03,1.677678e+03,2.044010e+03,1.611706e+03,1.729142e+03,2.585150e+03,2.437204e+03,1.914388e+03,2.326756e+03,2.533626e+03,2.200000e+03,4.199990e+03,3.423069e+03,2.781524e+03,2.949752e+03,5.021229e+03,3.648281e+03,3.411822e+03
