,f1_time,f2_time,f3_time,f4_time,f5_time,f6_time,f7_time,f8_time,f9_time,f10_time,f11_time,f12_time,f13_time,f14_time,f15_time,f16_time,f17_time,f18_time,f19_time,f20_time,f21_time,f22_time,f23_time,f24_time,f25_time,f26_time,f27_time,f28_time
run_1,0.026,,0.062,0.057,0.007,0.052,0.027,0.014,0.053,0.059,0.114,0.320,0.154,0.143,0.160,0.326,0.246,0.099,0.052,0.161,0.023,0.034,0.093,0.031,0.168,0.118,0.224,0.058
run_2,0.033,,0.050,0.062,0.010,0.068,0.041,0.012,0.045,0.026,0.054,0.260,0.143,0.232,0.084,0.208,0.107,0.234,0.025,0.082,0.021,0.097,0.116,0.081,0.142,0.079,0.127,0.050
run_3,0.034,,0.042,0.041,0.010,0.054,0.027,0.011,0.051,0.074,0.132,0.416,0.206,0.220,0.168,0.282,0.179,0.389,0.049,0.104,0.022,0.086,0.034,0.346,0.208,0.197,0.092,0.071
run_4,0.043,,0.063,0.050,0.009,0.024,0.024,0.012,0.100,0.016,0.107,0.569,0.291,0.167,0.146,0.289,0.150,0.194,0.118,0.089,0.019,0.022,0.035,0.082,0.214,0.137,0.285,0.075
run_5,0.034,,0.041,0.047,0.011,0.074,0.019,0.016,0.032,0.068,0.106,0.535,0.219,0.314,0.197,0.317,0.240,0.047,0.048,0.226,0.021,0.080,0.090,0.105,0.163,0.101,0.086,0.068
run_6,0.033,,0.045,0.048,0.010,0.032,0.015,0.017,0.045,0.017,0.080,0.253,0.164,0.221,0.156,0.267,0.086,0.301,0.174,0.105,0.015,0.072,0.029,0.086,0.151,0.087,0.447,0.041
run_7,0.034,,0.048,0.059,0.010,0.034,0.015,0.034,0.034,0.063,0.098,0.293,0.194,0.155,0.084,0.145,0.081,0.217,0.153,0.152,0.019,0.025,0.083,0.078,0.201,0.110,0.167,0.582
run_8,0.034,,0.052,0.049,0.010,0.035,0.028,0.011,0.052,0.018,0.149,0.174,0.169,0.312,0.095,0.297,0.129,0.076,0.041,0.123,0.017,0.018,0.034,0.078,0.176,0.219,0.041,0.169
run_9,0.032,,0.062,0.059,0.010,0.083,0.038,0.015,0.064,0.024,0.116,0.300,0.334,0.271,0.163,0.316,0.289,0.163,0.099,0.036,0.081,0.135,0.065,0.086,0.188,0.170,0.052,0.191
run_10,0.034,,0.029,0.045,0.009,0.050,0.021,0.013,0.051,0.048,0.104,0.589,0.119,0.209,0.073,0.344,0.063,0.064,0.013,0.162,0.129,0.081,0.163,0.120,0.218,0.105,0.041,0.097
