,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
run_1,3.407101e+09,,7.681970e+03,4.605285e+02,5.179338e+02,6.352151e+02,7.669462e+02,8.391424e+02,1.163478e+03,1.589190e+03,1.339430e+03,2.855570e+05,8.565092e+03,2.389531e+03,1.858388e+04,1.979732e+03,1.747060e+03,1.065359e+04,2.303626e+03,2.088796e+03,2.336235e+03,2.346611e+03,2.657411e+03,2.779203e+03,2.959242e+03,3.230134e+03,3.155633e+03,3.488494e+03
run_2,4.886784e+09,,7.861136e+02,7.550486e+02,5.276589e+02,6.335399e+02,7.889687e+02,8.099613e+02,1.069086e+03,1.990813e+03,1.228265e+03,1.698764e+06,9.453769e+03,1.995450e+03,6.707660e+03,1.627004e+03,1.791860e+03,2.372915e+04,5.682212e+03,2.116815e+03,2.282927e+03,2.355368e+03,2.724721e+03,2.807368e+03,2.970440e+03,4.192446e+03,3.203420e+03,3.598480e+03
run_3,5.411454e+09,,1.663866e+03,4.815124e+02,5.294159e+02,6.240622e+02,7.303049e+02,8.232087e+02,9.531749e+02,1.548981e+03,1.122681e+03,7.009947e+04,1.806920e+04,3.597953e+03,2.099048e+03,2.001542e+03,1.792685e+03,2.877246e+03,4.144022e+03,2.164707e+03,2.334415e+03,2.351511e+03,2.651450e+03,2.528700e+03,2.899710e+03,3.104956e+03,3.217894e+03,3.603989e+03
run_4,1.367863e+10,,5.194396e+03,4.977691e+02,5.729153e+02,6.330379e+02,7.321984e+02,8.395418e+02,1.449088e+03,1.894418e+03,1.152963e+03,7.802589e+04,3.610087e+03,1.816955e+03,4.504833e+03,1.924270e+03,1.743044e+03,1.787385e+04,8.237985e+03,2.396249e+03,2.404031e+03,2.498169e+03,2.671009e+03,2.731090e+03,2.969406e+03,3.309300e+03,3.289538e+03,3.815029e+03
run_5,1.058385e+09,,5.771730e+03,4.103159e+02,5.574997e+02,6.238490e+02,7.528876e+02,8.348490e+02,9.593207e+02,2.420832e+03,1.632699e+03,2.541095e+05,6.264315e+03,5.450946e+03,5.640054e+03,1.846907e+03,1.753206e+03,1.694165e+04,4.934884e+03,2.120391e+03,2.322043e+03,2.337672e+03,2.698836e+03,2.828844e+03,2.949267e+03,2.797411e+03,3.214258e+03,3.564657e+03
run_6,1.286289e+10,,5.938518e+03,5.367333e+02,5.367606e+02,6.247922e+02,7.684463e+02,8.244257e+02,9.024265e+02,1.658459e+03,1.367918e+03,1.918062e+06,8.902891e+03,2.655142e+03,6.709530e+03,2.000557e+03,1.772284e+03,1.390898e+04,2.422343e+03,2.168663e+03,2.384916e+03,3.640804e+03,2.644056e+03,2.527585e+03,3.083441e+03,3.561218e+03,3.280323e+03,3.233304e+03
run_7,1.706297e+10,,9.619990e+03,5.325099e+02,5.268677e+02,6.642341e+02,7.665802e+02,8.170372e+02,1.365330e+03,1.922848e+03,1.123455e+03,3.358608e+04,1.020215e+04,3.573731e+03,1.112782e+04,1.634429e+03,2.026000e+03,2.935536e+03,1.851261e+04,2.126222e+03,2.344587e+03,2.336652e+03,2.676635e+03,2.545281e+03,2.987707e+03,3.193369e+03,3.196151e+03,3.668170e+03
run_8,5.799558e+06,,4.179092e+03,4.639581e+02,5.347431e+02,6.291004e+02,7.632281e+02,8.334459e+02,9.775454e+02,1.751855e+03,3.343101e+03,4.492525e+05,8.003993e+03,3.905199e+03,1.299448e+04,2.220485e+03,1.778316e+03,4.614629e+06,1.391553e+04,2.156922e+03,2.376370e+03,2.437898e+03,2.674669e+03,2.609674e+03,2.997376e+03,3.275295e+03,3.235624e+03,3.167842e+03
run_9,2.411926e+09,,2.139959e+03,4.975060e+02,5.262005e+02,6.473446e+02,7.497011e+02,8.089713e+02,9.123085e+02,1.710669e+03,1.158456e+03,9.502343e+05,2.075211e+04,1.602221e+03,1.781252e+04,1.874854e+03,1.752380e+03,1.252915e+04,7.790970e+03,2.072442e+03,2.331062e+03,2.317514e+03,2.710378e+03,2.835930e+03,3.065241e+03,3.818921e+03,3.210999e+03,3.495251e+03
run_10,2.470751e+09,,1.055498e+04,4.872761e+02,5.251605e+02,6.318221e+02,7.262775e+02,8.348260e+02,9.473548e+02,2.612248e+03,1.128146e+03,5.928910e+06,7.986935e+03,1.828289e+04,8.457177e+03,1.807781e+03,1.726911e+03,6.291617e+03,1.877112e+04,2.107055e+03,2.336583e+03,2.314719e+03,2.711381e+03,2.684386e+03,3.070821e+03,4.113355e+03,3.153350e+03,3.503525e+03
